Altium Designer Pick and Place Locations
C:\Users\thoma\Documents\Altium\UltraZOhm\UZ_A_MAX11331_Daughter\Project Outputs for UZ_A_MAX11331_Daugther\Pick Place\PickPlace_UZ_A_MAX11331_Daugther_2v01.txt

========================================================================================================================
File Design Information:

Date:       21.04.21
Time:       17:24
Revision:   960d3172a432447561f6f2b9979d694950ee8413
Variant:    SMD_Assembly
Units used: mm

Designator  Footprint                     Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer    Comment                    
R17D        RES_0603                      -94.4562     65.4440      -95.2562  65.4440   -95.2562  65.4440   90       TopLayer 48.7                       
R17C        RES_0603                      -94.4562     88.4440      -95.2562  88.4440   -95.2562  88.4440   90       TopLayer 48.7                       
R17B        RES_0603                      -55.4562     65.4440      -56.2562  65.4440   -56.2562  65.4440   90       TopLayer 48.7                       
R17A        RES_0603                      -55.4562     88.4440      -56.2562  88.4440   -56.2562  88.4440   90       TopLayer 48.7                       
R16H        RES_1206                      -34.4532     16.8670      -34.4532  15.3670   -34.4532  15.3670   0        TopLayer 160R                       
R16G        RES_1206                      -34.4532     39.7270      -34.4532  38.2270   -34.4532  38.2270   0        TopLayer 160R                       
R16F        RES_1206                      -73.5691     16.8670      -73.5692  15.3670   -73.5691  15.3670   0        TopLayer 160R                       
R16E        RES_1206                      -73.3139     39.7790      -73.3140  38.2790   -73.3139  38.2790   0        TopLayer 160R                       
R16D        RES_1206                      -73.4411     65.0390      -73.4412  63.5390   -73.4411  63.5390   0        TopLayer 160R                       
R16C        RES_1206                      -73.4411     88.0390      -73.4412  86.5390   -73.4411  86.5390   0        TopLayer 160R                       
R16B        RES_1206                      -34.4412     65.0390      -34.4412  63.5390   -34.4412  63.5390   0        TopLayer 160R                       
R16A        RES_1206                      -34.4412     88.0390      -34.4412  86.5390   -34.4412  86.5390   0        TopLayer 160R                       
R15H        RES_0603                      -37.4122     15.6210      -38.2121  15.6210   -38.2122  15.6210   90       TopLayer 24.3k                      
R15G        RES_0603                      -37.4122     38.4810      -38.2121  38.4810   -38.2122  38.4810   90       TopLayer 24.3k                      
R15F        RES_0603                      -76.5282     15.6210      -77.3281  15.6210   -77.3282  15.6210   90       TopLayer 24.3k                      
R15E        RES_0603                      -76.2729     38.5330      -77.0729  38.5330   -77.0729  38.5330   90       TopLayer 24.3k                      
R15D        RES_0603                      -76.4002     63.7930      -77.2002  63.7930   -77.2002  63.7930   90       TopLayer 24.3k                      
R15C        RES_0603                      -76.4002     86.7930      -77.2002  86.7930   -77.2002  86.7930   90       TopLayer 24.3k                      
R15B        RES_0603                      -37.4001     63.7930      -38.2001  63.7930   -38.2002  63.7930   90       TopLayer 24.3k                      
R15A        RES_0603                      -37.4001     86.7930      -38.2001  86.7930   -38.2002  86.7930   90       TopLayer 24.3k                      
R14H        RES_0603                      -55.4682     15.6210      -56.2682  15.6210   -56.2682  15.6210   90       TopLayer 48.7                       
R14G        RES_0603                      -55.4682     38.4810      -56.2682  38.4810   -56.2682  38.4810   90       TopLayer 48.7                       
R14F        RES_0603                      -94.5842     15.6210      -95.3842  15.6210   -95.3842  15.6210   90       TopLayer 48.7                       
R14E        RES_0603                      -94.3290     38.5330      -95.1289  38.5330   -95.1289  38.5330   90       TopLayer 48.7                       
R14D        RES_0603                      -94.4562     63.7930      -95.2562  63.7930   -95.2562  63.7930   90       TopLayer 48.7                       
R14C        RES_0603                      -94.4562     86.7930      -95.2562  86.7930   -95.2562  86.7930   90       TopLayer 48.7                       
R14B        RES_0603                      -55.4562     63.7930      -56.2562  63.7930   -56.2562  63.7930   90       TopLayer 48.7                       
R14A        RES_0603                      -55.4562     86.7930      -56.2562  86.7930   -56.2562  86.7930   90       TopLayer 48.7                       
R13H        CAC-80P320X160-8N             -46.5944     21.6740      -46.5944  21.6740   -45.8944  20.3490   180      TopLayer 10k                        
R13G        CAC-80P320X160-8N             -46.5944     44.5340      -46.5944  44.5340   -45.8944  43.2090   180      TopLayer 10k                        
R13F        CAC-80P320X160-8N             -85.7104     21.6740      -85.7104  21.6740   -85.0104  20.3490   180      TopLayer 10k                        
R13E        CAC-80P320X160-8N             -85.4551     44.5860      -85.4551  44.5860   -84.7551  43.2610   180      TopLayer 10k                        
R13D        CAC-80P320X160-8N             -85.5824     69.8460      -85.5824  69.8460   -84.8824  68.5210   180      TopLayer 10k                        
R13C        CAC-80P320X160-8N             -85.5824     92.8460      -85.5824  92.8460   -84.8824  91.5210   180      TopLayer 10k                        
R13B        CAC-80P320X160-8N             -46.5824     69.8460      -46.5824  69.8460   -45.8824  68.5210   180      TopLayer 10k                        
R13A        CAC-80P320X160-8N             -46.5824     92.8460      -46.5824  92.8460   -45.8824  91.5210   180      TopLayer 10k                        
R12H        RES_0603                      -37.4122     13.7160      -38.2121  13.7160   -38.2122  13.7160   90       TopLayer 24.3k                      
R12G        RES_0603                      -37.4122     36.5760      -38.2121  36.5760   -38.2122  36.5760   90       TopLayer 24.3k                      
R12F        RES_0603                      -76.5282     13.7160      -77.3281  13.7160   -77.3282  13.7160   90       TopLayer 24.3k                      
R12E        RES_0603                      -76.2729     36.6280      -77.0729  36.6280   -77.0729  36.6280   90       TopLayer 24.3k                      
R12D        RES_0603                      -76.4002     61.8880      -77.2002  61.8880   -77.2002  61.8880   90       TopLayer 24.3k                      
R12C        RES_0603                      -76.4002     84.8880      -77.2002  84.8880   -77.2002  84.8880   90       TopLayer 24.3k                      
R12B        RES_0603                      -37.4001     61.8880      -38.2001  61.8880   -38.2002  61.8880   90       TopLayer 24.3k                      
R12A        RES_0603                      -37.4001     84.8880      -38.2001  84.8880   -38.2002  84.8880   90       TopLayer 24.3k                      
R11H        RES_0603                      -55.4682     13.4620      -56.2682  13.4620   -56.2682  13.4620   90       TopLayer 48.7                       
R11G        RES_0603                      -55.4682     36.3220      -56.2682  36.3220   -56.2682  36.3220   90       TopLayer 48.7                       
R11F        RES_0603                      -94.5842     13.4620      -95.3842  13.4620   -95.3842  13.4620   90       TopLayer 48.7                       
R11E        RES_0603                      -94.3290     36.3740      -95.1289  36.3740   -95.1289  36.3740   90       TopLayer 48.7                       
R11D        RES_0603                      -94.4562     61.6340      -95.2562  61.6340   -95.2562  61.6340   90       TopLayer 48.7                       
R11C        RES_0603                      -94.4562     84.6340      -95.2562  84.6340   -95.2562  84.6340   90       TopLayer 48.7                       
R11B        RES_0603                      -55.4562     61.6340      -56.2562  61.6340   -56.2562  61.6340   90       TopLayer 48.7                       
R11A        RES_0603                      -55.4562     84.6340      -56.2562  84.6340   -56.2562  84.6340   90       TopLayer 48.7                       
R10H        RES_1206                      -34.4532     12.2950      -34.4532  10.7950   -34.4532  10.7950   0        TopLayer 160R                       
R10G        RES_1206                      -34.4532     35.1550      -34.4532  33.6550   -34.4532  33.6550   0        TopLayer 160R                       
R10F        RES_1206                      -73.5691     12.2950      -73.5692  10.7950   -73.5691  10.7950   0        TopLayer 160R                       
R10E        RES_1206                      -73.3139     35.2070      -73.3140  33.7070   -73.3139  33.7070   0        TopLayer 160R                       
R10D        RES_1206                      -73.4411     60.4670      -73.4412  58.9670   -73.4411  58.9670   0        TopLayer 160R                       
R10C        RES_1206                      -73.4411     83.4670      -73.4412  81.9670   -73.4411  81.9670   0        TopLayer 160R                       
R10B        RES_1206                      -34.4412     60.4670      -34.4412  58.9670   -34.4412  58.9670   0        TopLayer 160R                       
R10A        RES_1206                      -34.4412     83.4670      -34.4412  81.9670   -34.4412  81.9670   0        TopLayer 160R                       
R9H         RES_0603                      -37.4122     12.0650      -38.2121  12.0650   -38.2122  12.0650   90       TopLayer 24.3k                      
R9G         RES_0603                      -37.4122     34.9250      -38.2121  34.9250   -38.2122  34.9250   90       TopLayer 24.3k                      
R9F         RES_0603                      -76.5282     12.0650      -77.3281  12.0650   -77.3282  12.0650   90       TopLayer 24.3k                      
R9E         RES_0603                      -76.2729     34.9770      -77.0729  34.9770   -77.0729  34.9770   90       TopLayer 24.3k                      
R9D         RES_0603                      -76.4002     60.2370      -77.2002  60.2370   -77.2002  60.2370   90       TopLayer 24.3k                      
R9C         RES_0603                      -76.4002     83.2370      -77.2002  83.2370   -77.2002  83.2370   90       TopLayer 24.3k                      
R9B         RES_0603                      -37.4001     60.2370      -38.2001  60.2370   -38.2002  60.2370   90       TopLayer 24.3k                      
R9A         RES_0603                      -37.4001     83.2370      -38.2001  83.2370   -38.2002  83.2370   90       TopLayer 24.3k                      
R8H         RES_0603                      -55.4682     11.8110      -56.2682  11.8110   -56.2682  11.8110   90       TopLayer 48.7                       
R8G         RES_0603                      -55.4682     34.6710      -56.2682  34.6710   -56.2682  34.6710   90       TopLayer 48.7                       
R8F         RES_0603                      -94.5842     11.8110      -95.3842  11.8110   -95.3842  11.8110   90       TopLayer 48.7                       
R8E         RES_0603                      -94.3290     34.7230      -95.1289  34.7230   -95.1289  34.7230   90       TopLayer 48.7                       
R8D         RES_0603                      -94.4562     59.9830      -95.2562  59.9830   -95.2562  59.9830   90       TopLayer 48.7                       
R8C         RES_0603                      -94.4562     82.9830      -95.2562  82.9830   -95.2562  82.9830   90       TopLayer 48.7                       
R8B         RES_0603                      -55.4562     59.9830      -56.2562  59.9830   -56.2562  59.9830   90       TopLayer 48.7                       
R8A         RES_0603                      -55.4562     82.9830      -56.2562  82.9830   -56.2562  82.9830   90       TopLayer 48.7                       
R7H         RES_0603                      -37.4122     10.1600      -38.2121  10.1600   -38.2122  10.1600   90       TopLayer 24.3k                      
R7G         RES_0603                      -37.4122     33.0200      -38.2121  33.0200   -38.2122  33.0200   90       TopLayer 24.3k                      
R7F         RES_0603                      -76.5282     10.1600      -77.3281  10.1600   -77.3282  10.1600   90       TopLayer 24.3k                      
R7E         RES_0603                      -76.2729     33.0720      -77.0729  33.0720   -77.0729  33.0720   90       TopLayer 24.3k                      
R7D         RES_0603                      -76.4002     58.3320      -77.2002  58.3320   -77.2002  58.3320   90       TopLayer 24.3k                      
R7C         RES_0603                      -76.4002     81.3320      -77.2002  81.3320   -77.2002  81.3320   90       TopLayer 24.3k                      
R7B         RES_0603                      -37.4001     58.3320      -38.2001  58.3320   -38.2002  58.3320   90       TopLayer 24.3k                      
R7A         RES_0603                      -37.4001     81.3320      -38.2001  81.3320   -38.2002  81.3320   90       TopLayer 24.3k                      
R6H         RES_0603                      -55.4682     9.6520       -56.2682  9.6520    -56.2682  9.6520    90       TopLayer 48.7                       
R6G         RES_0603                      -55.4682     32.5120      -56.2682  32.5120   -56.2682  32.5120   90       TopLayer 48.7                       
R6F         RES_0603                      -94.5842     9.6520       -95.3842  9.6520    -95.3842  9.6520    90       TopLayer 48.7                       
R6E         RES_0603                      -94.3290     32.5640      -95.1289  32.5640   -95.1289  32.5640   90       TopLayer 48.7                       
R6D         RES_0603                      -94.4562     57.8240      -95.2562  57.8240   -95.2562  57.8240   90       TopLayer 48.7                       
R6C         RES_0603                      -94.4562     80.8240      -95.2562  80.8240   -95.2562  80.8240   90       TopLayer 48.7                       
R6B         RES_0603                      -55.4562     57.8240      -56.2562  57.8240   -56.2562  57.8240   90       TopLayer 48.7                       
R6A         RES_0603                      -55.4562     80.8240      -56.2562  80.8240   -56.2562  80.8240   90       TopLayer 48.7                       
R5H         RES_1206                      -34.4531     7.7230       -34.4532  6.2230    -34.4531  6.2230    0        TopLayer 160R                       
R5G         RES_1206                      -34.4531     30.5830      -34.4532  29.0830   -34.4531  29.0830   0        TopLayer 160R                       
R5F         RES_1206                      -73.5691     7.7230       -73.5691  6.2230    -73.5691  6.2230    0        TopLayer 160R                       
R5E         RES_1206                      -73.3139     30.6350      -73.3139  29.1350   -73.3139  29.1350   0        TopLayer 160R                       
R5D         RES_1206                      -73.4411     55.8950      -73.4411  54.3950   -73.4411  54.3950   0        TopLayer 160R                       
R5C         RES_1206                      -73.4411     78.8950      -73.4411  77.3950   -73.4411  77.3950   0        TopLayer 160R                       
